priority,model_key,display_name,source_url,model_or_access_id,input_dimensionality,benchmark_input_mapping,training_modalities,training_scale,training_disease_or_task_context,access_status,implementation_stage,current_benchmark_status,first_benchmark_role,notes
1,pillar0_breastmri,Pillar-0 BreastMRI,https://huggingface.co/YalaLab/Pillar0-BreastMRI,YalaLab/Pillar0-BreastMRI,3d_volume,"3-channel DCE-MRI volume triplets from whole-volume and expert-ROI inputs","3D breast MRI volumes with paired radiology reports","not publicly specified in model card","Breast MRI findings and radiology-report alignment; evaluated on 35 breast MRI findings",gated_huggingface_terms,stage_1_primary,first_pass_complete,whole_volume_and_roi,"Native 3D breast MRI representation; full image-only and image-plus-clinical ladder complete."
2,mome_breast_mpmri,MOME Breast mpMRI,https://www.nature.com/articles/s41467-025-58798-z,https://github.com/LLYXC/MOME/tree/main,3d_multimodal_mri,"Not runnable because the released method requires DCE subtraction series plus DWI and T2","Breast DCE-MRI, T2-weighted MRI, and DWI","5220 multiparametric breast MRI examinations from 5205 patients; NACT response subset n=358","Breast cancer malignancy diagnosis, TNBC subtyping, and NACT response/pCR prediction",code_public_required_modalities_unavailable,excluded_input_incompatible,excluded_missing_dwi_t2,not_applicable,"Scientifically relevant, but the required DWI/T2 modalities are unavailable in this MAMA-MIA benchmark."
3,curia,Curia,https://huggingface.co/raidium/curia,raidium/curia,2d_slice,"2D axial DCE-MRI slices from whole volumes and expert ROIs, aggregated to patient embeddings","CT and MRI cross-sectional imaging slices","150000 exams, 130 TB, more than 200M CT/MRI slices","Broad radiology tasks across anatomy, oncology, emergency, musculoskeletal, infectious, and neurodegenerative settings",gated_huggingface_terms_research_only,stage_1_primary_slice,first_pass_complete,whole_volume_slice_aggregation_and_roi,"MRI-compatible slice encoder; strongest image-only AUROC and AP point estimates."
4,medsiglip,MedSigLIP,https://huggingface.co/google/medsiglip-448,google/medsiglip-448,2d_image_text,"2D DCE-MRI slices/crops encoded as image embeddings","Medical image-text pairs including chest X-ray, dermatology, ophthalmology, histopathology, CT slices, MRI slices, plus natural image-text pairs","not publicly specified in model card","General medical image interpretation; evaluated on 23 tasks across 4 modalities",gated_huggingface_terms,stage_1_primary_slice,first_pass_complete,whole_volume_slice_aggregation_and_roi,"Strong general 2D medical image-text encoder; main broad medical baseline."
5,medimageinsight,MedImageInsight,https://www.microsoft.com/en-us/research/publication/medimageinsight-an-open-source-embedding-model-for-general-domain-medical-imaging/,MedImageInsight-Premium,2d_image_embedding,"Candidate 2D slice embedding benchmark if a governed endpoint becomes available","X-ray, CT, MRI, dermoscopy, OCT, fundus photography, ultrasound, histopathology, and mammography","3.7M clinical images from 14 medical domains","General-domain medical image classification, retrieval, and fine-tuning tasks",azure_limited_preview_approval_required,access_blocked,access_blocked,whole_volume_slice_aggregation_and_roi,"No local checkpoint; deployment approval, endpoint cost, and data governance are unresolved."
6,biomedclip,BiomedCLIP,https://huggingface.co/microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,2d_image_text,"2D DCE-MRI slices/crops encoded as image embeddings","Biomedical research article figures and captions","15M figure-caption pairs from PubMed Central","Broad biomedical literature figures; includes radiography/histology/microscopy but is not radiology-specific",public_huggingface,stage_1_control,first_pass_complete,whole_volume_slice_aggregation_and_roi,"Broad biomedical control; strongest multimodal AUROC/AP point estimates and the main ISPY2 follow-up candidate."
7,radimagenet,RadImageNet,https://github.com/BMEII-AI/RadImageNet,RadImageNet_pretrained_CNNs,2d_radiology_image,"2D DCE-MRI slices/crops encoded with the pretrained CNN","CT, MRI, and ultrasound radiology images","1.35M annotated images from 131872 patients; 165 pathologic labels; 11 anatomic regions","Musculoskeletal, neurologic, oncologic, gastrointestinal, endocrine, abdominal, and pulmonary pathologies",weights_obtained,stage_1_control,first_pass_complete,whole_volume_slice_aggregation_and_roi,"Radiology CNN transfer baseline; strongest image-only and multimodal balanced-accuracy point estimates."
8,radiodino,RadioDINO,https://github.com/Snarci/Radio-DINO,hf_hub:Snarcy/RadioDino-s16,2d_radiology_image,"2D axial DCE-MRI slices from whole volumes and expert ROIs, aggregated to patient embeddings","Self-supervised ViT trained on RadImageNet CT, MRI, and ultrasound images","RadImageNet scale: 1.35M images","Radiomics and medical image analysis; evaluated on classification and segmentation tasks",public_huggingface_via_timm,stage_1_control,first_pass_complete,whole_volume_slice_aggregation_and_roi,"Self-supervised radiology ViT baseline trained from RadImageNet-style data."
9,radfm,RadFM,https://github.com/chaoyi-wu/radfm,RadFM_checkpoint,2d_3d_radiology_vlm,"Selected-input feasibility audit only","2D and 3D medical scans with text","MedMD: 16M 2D/3D medical images/scans, including about 15.5M 2D images and 500K 3D scans","General radiology vision-language tasks across 2D and 3D scans",checkpoint_public_but_unsupported_locally,resource_blocked,resource_blocked,selected_inputs_only,"Official path documents an NVIDIA A100 80 GB-class setup and roughly 50 GB checkpoint; no supported standalone visual encoder is released."
10,jolia,Jolia,https://huggingface.co/raidium/Jolia,raidium/Jolia,3d_ct,"Cross-modality CT-to-MRI stress test; excluded from the primary leaderboard","Adult chest and abdominal CT volumes with paired radiology reports","74434 public CT-report pairs from INSPECT, CT-RATE, and Stanford-Abdominal-CT","Chest and abdominal CT findings, per-organ concept alignment, and report-related tasks",gated_huggingface_terms_accepted,optional_cross_modality_control,cross_modality_screen_complete,not_primary,"Completed eight-run negative transfer control; every result remains below clinical-only."
